Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,CORSIA Eligible,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1301,CAOD6301,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 27,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"East Liverpool, Ohio",OHIO,US,,,,50473,06/28/2018,11/16/2018,View,View,www.climeco.com
CAR1302,CAOD6302,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 28,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"East Liverpool, Ohio",OHIO,US,,,,58745,09/12/2018,12/26/2018,View,View,www.climeco.com
CAR1309,CAOD6309,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 29,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"East Liverpool, Ohio",OHIO,US,,,,97696,10/02/2018,04/26/2019,View,View,www.climeco.com
CAR1310,CAOD6310,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 30,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"East Liverpool, Ohio",OHIO,US,,,,140146,01/04/2019,05/28/2019,View,View,www.climeco.com
CAR1326,CAOD6326,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 31,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"East Liverpool, Ohio",OHIO,US,,,,56139,01/15/2019,06/24/2019,View,View,www.climeco.com
CAR1376,CAOD6376,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 32,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active Registry Project,No,"East Liverpool, Ohio",OHIO,US,,,,96280,08/20/2019,02/18/2020,View,View,www.climeco.com
CAR1401,CAOD6401,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 33,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,No,East Liverpool,OHIO,US,,,,119156,04/09/2020,08/27/2020,View,View,www.climeco.com
CAR1456,CAOD6456,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 34,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,No,East Liverpool,OHIO,US,,,,127338,09/25/2020,12/22/2020,View,View,www.climeco.com
CAR1515,CAOD6515,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 35,ClimeCo LLC,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,No,East Liverpool,OHIO,US,,,,122101,08/27/2021,01/28/2022,View,View,www.climeco.com
CAR1860,CAOD6860,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 36,ClimeCo LLC,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,No,East Liverpool,OHIO,US,,,,45265,10/06/2023,06/17/2024,View,View,www.climeco.com
